ship_name,ETA prévu,Distance / Temps,Direction / Vitesse,Tirant d'eau actuelle,État de la navigation,Position reçue,IMO / MMSI,indicatif d'appel,Type de AIS,Drapeau AIS,Longueur / Largeur,IMO,Nom du navire,Type de navire,Pavillon,Année de construction,Longueur totale (m),Longueur BP (m),Largeur (m),Tirant d'eau (m),Profondeur (m),GT,Tonnage net,Poids mort (t),TEU,Huile brute (bbl),Gaz (m3),Grain (m3),Balles (m3),Eau de ballast (m3),Eau douce (m3),Constructeur de navire,Lieu où construit,Coque,Matériel,Constructeur du moteur,Type de moteur,Puissance du moteur (kW),Type de carburant,Vitesse de service (kn),Hélice,Propriétaire enregistré,Adresse,Site web,Email,Gestionnaire de navire,Responsable ISM,Club P&I,Société de classif.,Last Survey,Next Survey,timestamp,latitude,longitude,speed,course
FORTUNATE SUN,-,-,,3.0 m,Under way,1 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 04:11:22.392131,18,-63,0.0,25.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 05:08:50.247263,18,-63,0.0,82.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 05:51:43.292371,18,-63,0.0,357.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 06:26:21.730388,18,-63,0.0,269.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 07:05:00.485376,18,-63,0.0,166.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 07:39:40.387538,18,-63,0.0,169.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 07:56:42.839480,18,-63,0.0,201.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 08:36:22.975282,18,-63,0.1,298.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 09:00:09.673744,18,-63,0.0,246.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 09:38:43.680309,18,-63,0.1,44.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 09:56:20.090229,18,-63,0.1,207.0
FORTUNATE SUN,-,-,,3.0 m,Under way,1 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 10:27:21.666207,18,-63,0.1,265.0
FORTUNATE SUN,-,-,,3.0 m,Under way,1 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 10:50:18.652953,18,-63,0.0,288.0
FORTUNATE SUN,-,-,,3.0 m,Under way,0 min ago,1008243 / 319838000,ZCGG9,Pleasure craft,Cayman Islands,54 / 11 m,1008243,FORTUNATE SUN,Yacht,Cayman Islands,2003,54.00,,10.64,,,851,,560,-,-,-,-,-,-,-,,,,,,-,,-,,,,-,-,-,,-,-,-,-,-,2026-03-07 11:01:13.707158,18,-63,0.1,210.0
